Title,Subtitle,Publishers,Published,Pages,Contributions,Type,Cover Image,Other Images
Sweet Enough,A Baking Book,Hardie Grant,5/4/2023,304,Alison Roman|Author,Sweets & Baking,airtable-import/189a2400-2c9b-4683-8390-fb1af598104c.jpeg,
Mamacita,Recipes Celebrating Life as a Mexican Immigrant in America ,Princeton Architectural Press,27/10/2022,192,Andrea Pons|Author,Mexican,airtable-import/f0cb041f-48a2-4cb9-a84e-5faad8ac794a.webp,
Off to The Market,"A Celebration of Markets, Cooking, and Fresh Food",Scribble,22/9/2022,30,"Alice Oehr|Author,Alice Oehr|Illustrator",For Kids,airtable-import/61ba1a8c-30bc-4fce-bd98-9ce0df30e485.jpeg,
Flour Power,The Practice and Pursuit of Baking Sourdough Bread,Random House,30/8/2022,304,Tara Jensen|Author,Sweets & Baking,airtable-import/3a81b935-8ac0-4424-ad60-23926c64b043.jpeg,
Sqirl Away,"Modern Jamming, Preserving, and Canning",Abrams Books,21/7/2020,256,Jessica Koslow|Author,Sweets & Baking,,
Sweet Paris,Seasonal Recipes from an American Baker in France,Harper Design,28/4/2022,240,Frank Adrian Barron|Author,Sweets & Baking,,
Amaro,"The Spirited World of Bittersweet, Herbal Liqueurs with Cocktails, Recipes, and Formulas ",Ten Speed Press,11/10/2016,280,Brad Thomas Parsons|Author,Drinks,,
Let's Go Nuts,80 Vegan Recipes with Nuts and Seeds,Prestel,5/4/2022,256,Estella Schweizer|Author,Vegan,,
Kolkata,Recipes from the heart of Bengal,Smith Street Books,29/9/2022,224,"Rinku Dutt|Author,Georgie Hewitt|Designer,Steven Joyce|Photographer,Ellie Mulligan|Food Stylist,Hannah Wilkinson|Prop Stylist,Emily Preece-Morrison|Publishing Director","Bangladeshi,South Asian",airtable-import/5a58c0a7-6ba6-487e-8b28-5a0b9ff6b7a4.jpeg,
Bread Head,Baking for the Road Less Traveled,W. W. Norton & Company,27/9/2022,336,"Greg Wade|Author,Rachel Holtzman|Author",Sweets & Baking,airtable-import/e157a8ed-0cd5-4750-97af-4e67dbe704b3.jpeg,
Ramen-topia,60 Slurp-tastic Recipes,Smith Street Books,12/9/2017,120,"Deborah Kaloper|Author,Michelle Mackintosh|Designer,Alice Oehr|Illustrator",Japanese,,
Taco-topia,60+ Munch-tastic recipes,Smith Street Books,2/10/2018,132,"Deborah Kaloper|Author,Deborah Kaloper|Food Stylist,Alice Oehr|Illustrator,Michelle Mackintosh|Designer",Mexican,,
The Edna Lewis Cookbook,,Axios Press,1/10/2016,200,Edna Lewis|Author,,,
Indian Cooking Class,Christine Manfield's Indian Cooking Class,Simon & Schuster,20/1/2022,448,"Christine Manfield|Author,Evangeline Peterson|Author",Indian,,
Cooking at Home,"Or, How I Learned to Stop Worrying About Recipes (And Love My Microwave)",Clarkson Potter,8/11/2021,304,"David Chang|Author,Priya Krishna|Author",,,
Yiayia Next Door,"Recipes from Yiayia’s Kitchen, and the True Story of One Woman’s Incredible Act of Kindness",Plum,26/4/2022,208,"Daniel Mancuso|Author,Luke Mancuso|Author",,,
Chinese-ish,"Home cooking, not quite authentic, 100% delicious",Murdoch Books,8/4/2022,224,"Joanna Hu|Author,Rosheen Kaul|Author",Chinese,airtable-import/933c526f-5c3d-4bd8-912e-4648a3b43518.jpeg,
Babka Zana Boulangerie,Boulangerie levantine ,Hachette,25/5/2022,192,"Sarah Amouyal|Author,Emmanuel Murat|Author",,,
The Curry Guy: BBQ,100 Classic Dishes to Cook over Fire or on Your Barbecue ,Quadrille,26/5/2022,176,Dan Toombs|Author,,,
Vegan Africa,Plant-Based Recipes from Ethiopia to Senegal,The Experiment,17/1/2023,192,Marie Kacouchia|Author,"African,Vegan",airtable-import/a75d5dc3-66b2-43bd-b135-59d4f7fc5d53.jpeg,
Field Notes for Food Adventure,Recipes and Stories from the Woods to the Ocean,Voracious,23/11/2021,352,Brad Leone|Author,,airtable-import/82ba95b9-da17-47b5-aa56-1590d97364b1.jpeg,
Japaneasy: Bowls & Bento,"Simple and Satisfying Japanese Recipes for All Day, Every Day",Hardie Grant,13/10/2022,224,Tim Anderson|Author,,,
The Kitchen Studio,Culinary Creations by Artists ,Phaidon,9/9/2021,288,Phaidon Editors|Author,,,
Masala,"Recipes from India, the Land of Spices",Ten Speed Press,30/8/2022,304,Anita Jaisinghani|Author,Indian,airtable-import/53e60e1e-588f-4be7-986a-934bc53f5d9e.jpeg,"airtable-import/600ce934-74de-4b53-a82e-c658671b7f97.jpeg,airtable-import/e376bd46-a93b-475d-9590-3cd461f7a4c9.jpeg,airtable-import/f56db51a-ce17-47e8-a6b4-f720c47554ab.jpeg,airtable-import/821cba9e-85e7-479a-ba15-3b544a33a95d.jpeg,airtable-import/5d946c08-a6db-4065-9dce-ef7ce1215db1.jpeg,airtable-import/773c6205-41a1-45a8-bf96-b5d25ee6be2e.jpeg,airtable-import/231c528f-71b9-4e9c-bcec-53b0af9cf51a.jpeg,airtable-import/c03ae827-daab-4971-9b7f-0788ca4956fc.jpeg,airtable-import/4ade5081-7bb2-4485-bc04-8c4506549bfe.jpeg,airtable-import/6828b104-7e26-4d1b-84b2-03db9ea15fde.jpeg"
For The Table,"Easy, Adaptable, Crowd-Pleasing Recipes",Abrams Books,26/5/2022,272,Anna Stockwell|Author,,,
Venezia,Food and Dreams,Murdoch Books,20/10/2008,288,Tessa Kiros|Author,Italian,,
Mi Cocina,Recipes and Rapture from My Kitchen in Mexico: A Cookbook,Random House,5/3/2022,304,Rick Martinez|Author,Mexican,,
