Name,Job Title(s),Role(s),Website,Instagram,Location,Books
A Practice for Everyday Life,Designer,,https://apracticeforeverydaylife.com/,apfeltypefoundry,London,
Adriano Brusaferri,Photographer,,,,,
Alan Benson,Photographer,,https://alanbenson.com/,alan_benson_photographer,,
Alana Dimou,Photographer,,,,,
Alex Lau,Photographer,Photographer,,,,Rambutan
Alex Maynard,Designer,,,,,
Alex Stetter,Editor,,,,,
Alice Bosc,Designer,,,,,
Alice Oehr,Author,"Author,Illustrator,Illustrator,Illustrator",https://www.aliceoehr.com/,aliceoehr,Melbourne,"Off to The Market,Off to The Market,Ramen-topia,Taco-topia"
Alison Roman,Author,Author,,,,Sweet Enough
Alison Starling,Publisher,Publisher,,,,Brazilian Food
Allen Rinne,Photographer,,,,,
Allison Colpoys,Designer,,,,,
Amelia Noble,Designer,,,,,
Ana Zaja Petrak,Illustrator,,,,,
Andrea Butti,Photographer,,,,,
Andrea Pons,Author,Author,,,,Mamacita
Andrew Hayes-Watkins,Photographer,,,,,
Andrew Montgomery,Photographer,,,,,
Andrew Scrivani,Photographer,,,,,
Andy Sewell,Photographer,,,,,
Andy Warren,Designer,,https://www.andywarrendesign.com.au/,andywarrendesign,,
Angela Moore,Photographer,,http://angela-moore.co.uk/,,UK,
Angie Cao,Photographer,,,,,
Anita Jaisinghani,Author,Author,,,,Masala
Anita Mangan,Designer,,,,,
Anna Brones,Illustrator,,,,,
Anna Jones,Author,Author,,,,A Modern Way to Cook
Anna Sinofzik,Editor,,,,,
Anna Stockwell,Author,Author,,,,For The Table
Ashima Narain,Photographer,,,,,
Aya Nishimura,"Food Stylist,Prop Stylist,Home Economist",Food Stylist,http://www.ayanishimura.com/index.html,ayamomochan,London,Mildreds Vegan Cookbook
Barkas,Designer,,,,,
Ben Gardiner,Designer,,,,,
Benito Martin,Photographer,,https://benitomartinphotography.com.au/,benito_martin,Sydney,
Brad Leone,Author,Author,,,,Field Notes for Food Adventure
Brad Thomas Parsons,Author,Author,,,,Amaro
Bruno Regis,Photographer,Photographer,,,,Brazilian Food
Bruno Vergauwen,Designer,,,,,
Byung-Hi Lim,Author,Author,,,,Kimchi
Byung-Soon Lim,Author,Author,,,,Kimchi
Cara Cormack,Food Stylist,,caracormack.co.uk,_plantandplate_,,
Caroline Clark,Designer,,,,,
Caz Hildebrand,Author,"Author,Author",,,,"Herbarium,The Geometry of Pasta"
Celia Farrar,Author,Author,,,,Poké
Charlotte Heal,Designer,,,,,
Charmaine Solomon,Author,Author,,,,The Complete Asian Cookbook
Chinmayie Bhat,Photographer,,,,,
Chloe Hardwick,Photographer,,https://www.chloehardwick.com/,chloe.hardwick,London,
Chris Middleton,Photographer,,,,,
Christine Manfield,Author,Author,,,,Indian Cooking Class
Claire Warner,Designer,,,,,
Clare Marshall,Editor,,,,,
Clare Skeats,Designer,,,,,
Cristian Barnett,Photographer,,https://cristianbarnett.com/,crisbarnett,UK,
Cynthia Shanmugalingam,Author,Author,,,,Rambutan
Cyrus Todiwala,Author,Author,,,,Simple Spice Vegetarian
Céline Anaya Gautier,Photographer,,,,,
Dan Toombs,Author,Author,,,,The Curry Guy: BBQ
Dani Valent,Author,Author,,,,Salamati
Daniel Acevedo,Author,Author,,,,Mildreds Vegan Cookbook
Daniel Mancuso,Author,Author,,,,Yiayia Next Door
Daniel New,Designer,,https://danielnew.com.au/,danielknew,Surry Hills,
Danielle Acken,Photographer,,www.dlackenphotography.com,dlackenphotos,,
Danielle Wood,Photographer,,https://www.daniellewood.co.uk/,daniellewoodphoto,,
Dapple Studio,Designer,Designer,,,,Poké
Dave Brown,Designer,Designer,,,,Rambutan
David Chang,Author,Author,,,,Cooking at Home
David Hagerman,Photographer,,,,,
David Loftus,Photographer,,,,,
David Reamer,Photographer,,,,,
Deb Perelman,Author,Author,,,,The Smitten Kitchen Cookbook
Deborah Kaloper,"Recipe Developer,Food Stylist,Prop Stylist,Author","Author,Author,Food Stylist",https://www.deborahkaloper.com/,deborahkaloperfoodstylist,Melbourne,"Ramen-topia,Taco-topia"
Derrick Riches,Author,Author,,,,Kebabs
Diluckshan Puviraj,Photographer,Photographer,,,,Rambutan
Ed Schofield,Photographer,,https://www.edschofieldphoto.com/,edschofieldphoto,,
Ed Smith,Author,Author,,,,On the Side
Edna Lewis,Author,Author,,,,The Edna Lewis Cookbook
Eduardo Torres,Photographer,,,,,
Edward Park,Photographer,,,,,
Eila Purvis,Editor,Editor,,,,Tokyo Stories
Elisa Cunningham,Illustrator,,,,,
Ella Jackson,Designer,,,,,
Ellie Mulligan,Food Stylist,Food Stylist,,,,Kolkata
Ellis Parrinder,Photographer,,https://ellisparrinder.com/,ellisparrinder,,
Emily Dorio,Photographer,,,,,
Emily Kydd,Author,Author,,,,Posh Rice
Emily O'Neill,Photographer,,,,,
Emily Preece-Morrison,Publishing Director,Publishing Director,,,,Kolkata
Emma Warren,Author,Author,,,,Islas
Emmanuel Murat,Author,Author,,,,Babka Zana Boulangerie
Enrique Olvera,Photographer,,,,,
Eoghan O’Brien,Designer,,,,,
Equilibrium Design,Designer,,,,,
Eric Wolfinger,Photographer,,,,,
Erika Raxworthy,Food Stylist,,,,,
Estella Schweizer,Author,Author,,,,Let's Go Nuts
Evan Sung,Photographer,,,,,
Evangeline Peterson,Author,Author,,,,Indian Cooking Class
Evi O Studio,"Designer,Art Director","Designer,Designer,Designer,Designer,Designer,Designer,Designer,Designer,Designer,Designer,Designer,Designer,Designer,Designer,Art Director,Designer",https://evi-o.studio/,evi_o.studio,Sydney,"Chinese Unchopped,Naturally Nourished,Eat Up,""Eating for Pleasure, People & Planet"",The Commons,Comida Mexicana,Salad Feasts,Apple,Street Food Vietnam,Islas,Thank You for Smoking,Just Eat It,Tokyo Stories,Tokyo Stories,Tava"
Fiamma Piacentini,Photographer,,,,,
Francesco Mazzei,Author,Author,,,,Mezzogiorno
Frank Adrian Barron,Author,Author,,,,Sweet Paris
Fredrika Stjarne,Photographer,,,,,
Gabriele Stabile,Photographer,,,,,
Gemma Wilson,Designer,,,,,
Gentl & Hyers,Photographer,,,,,
Georgie Hewitt,Designer,Designer,,,,Kolkata
Gestalten,Author,Author,,,,Visual Feast
Grace Helmer,Illustrator,,,,,
Graydon Herriott,Photographer,,https://graydonherriott.com/,graydonherriott,,
Greg Wade,Author,Author,,,,Bread Head
Guillaume Czerw,Designer,,,,,
Gustav Almestål,Photographer,,http://www.almestal.com/,almestal,,
Guy Jackson,Author,Author,,,,Poké
Haarala Hamilton,Photographer,,,,,
