Name,Website,Generic Contact,Direct Contact,Instagram,Imprint,Logo,Publications
3rd Millenium Books,,,,,,,
4th Estate Books,https://www.4thestate.co.uk/,4thestate.marketing@harpercollins.co.uk,4thestate.publicity@harpercollins.co.uk,,Harper Collins,,A Modern Way to Cook
33 Books,http://www.33books.co.uk/,enquiries@33books.co.uk,,,,,
535 Books,,hello@blinkpublishing.co.uk,,,Blink Publishing,,
Abrams Books,,abrams@abramsbooks.com,publicity@abramsbooks.com,,,,"Sqirl Away,For The Table"
Abrams Image,,,,,Abrams,,
Acc Art Books,,,,,,,
Agate,,,,,,,
Agate Surrey,,,,,,,
Alfred A. Knopf,,,,,,,
Algonquin Books,,,inquiry@algonquin.com,,W&P,,
American University in Cairo Press,,aucpress@aucegypt.edu,suzan.kenawy@aucegypt.edu,,,,
Anima,,,,,,,
Anness Publishing,,info@anness.com,jlorenz@anness.com,,,,
Aperture Foundation,,customerservice@aperture.org,,,,,
Artbeet Publishing,,info@artbeet.hu,,,,,
Artisan,,artisaninfo@artisanbooks.com,,,Workman Publilshing,,
Assouline,,press@assouline.com,,,,,
Aster,,,,,Octopus,,
Atlantic Books,,enquiries@atlantic-books.co.uk,publicity@atlantic-books.co.uk,,Penguin Random House,,
Aurora Metro Books,,info@aurorametro.com,,,,,
Aurum Press,,marketinguk@quarto.com,,,Quarto Knows,,
AVA Publishing,,,,,,,
Avery Books,,,,,Penguin Books,,
Axios Press,,,,,,,The Edna Lewis Cookbook
Baker & Taylor,,,,,,,
Ballantine Books,,,,,Penguin Random House,,
Bantam Press,,,,,Penguin Books,,
Beatnik Publishing,,,,,,,
Berkley Publishing,,,,,,,
Black Dog & Leventhal,,,,,Running Press / Perseus / Hachette,,
Blink Publishing,,hello@blinkpublishing.co.uk,,,Bonnier Books,,
Bloomsbury Absolute,,office@absolutepress.co.uk,,,Bloomsbury Publishing,,
Bloomsbury Publishing,,contact@bloomsbury.com,,,,,"Rambutan,On the Side,Zaitoun,The Saffron Tales"
Bluebird Books,,webqueries@macmillan.co.uk,,,Pan Macmillan,,Just Eat It
Bonnier Books,,hello@bonnierbooks.co.uk,,,,,
Boxtree,,,,,Pan Macmillan,,The Geometry of Pasta
Burgess Lea Press,,,,,,,
C. Scribner’s Sons,,,,,,,
Callwey Verlag,,info@callwey.de,,,,,
Cambourakis,,,,,,,
Cameron Books,,,,,,,
Canongate,,info@canongate.co.uk,,,,,
Catapulta,,info@catapulta.net,,,Quarto Knows,,
Chatto & Windus,,,yamazakiowen@penguinrandomhouse.co.uk,,Vintage,,Flavour
Chelsea Green Publishing,,,,,,,
Chronicle Books,,,,,Abrams & Chronicle Books,,
Cider Mill Press,https://www.cidermillpress.com/,editorial@cidermillpress.com,johnwhalen@cidermillpress.com,cidermillpress,HarperCollins,,
Clarkson Potter,,,,,Crown Publishing,,Cooking at Home
Clearview,,,catharine@clearviewbooks.com,,,,
Collins,,,,,,,
Collins & Brown,,,marketing@pavilionbooks.com,,Pavilion Books,,
Conran,,,,,,,
Constable⁠,,,,,"Little, Brown Book Group",,
Convergent,,,,,Crown Publishing Group,,
Cooking Lab,,,,,,,
Cornwall Food,,,,,,,
Counterpoint Press,,,,,,,
Countryman Press,,,,,W. W. Norton & Company,,
Crown Publishing,,,,,Penguin Random House,,
Da Capo Lifelong Books,,,,,,,
Daunt Books,,,,,,,
Dewi Lewis Publishing,,,,,,,
DK Books,,,,,,,
Dokument Press,,,,,,,
Dovetail Press,,,,,W&P,,
Ducasse Editions,,,,,,,
Dutton Books,,,,,,,
Ebury,,,,,Penguin Books,,The Hot Sauce Cookbook
Ecco,,,,,Pavilion Books,,
Éditions de La Martinière,,,,,,,
Éditions Flammarion,,,,,,,
Éditions Gallimard,,,,,,,
Editions Keribus,,,,,,,
EDLM,,,,,,,
EMF Verlag,,,,,,,
Emily Bestler Books,,,,,W&P,,
Épure Editions,,,,,,,
Faber & Faber,,,,,,,
Faber Books,,,,,,,
Face,,,,,,,
Fair Winds Press,,,,,Quarto Knows,,
Familius⁠,,,,,W&P,,
Fig Tree,,,,,Penguin Books,,
Figure 1 Publishing,,,,,,,
Frame,,,,,,,
Frances Lincoln,,,,,Quarto Knows,,Mountain Berries and Desert Spice
FUEL Design & Publishing,,,,,,,
G.P.Putnam's Sons Books for Young Readers,,,,,,,
Gaia Books,,,,,Octopus,,
Gestalten,,,,,,,Visual Feast
Gill Books,,,,,,,
Good Cook Publishing,,,,,,,
Grand Central Publishing,,,,,Hachette,,
Granta Books,,,,,,,
Great British Chefs,,,,,,,
Griffin,,,,,,,
Grub Street,,,,,,,
Guardian Faber Publishing,,,,,Faber Books,,
Hachette,,,,,,,Babka Zana Boulangerie
Hamlyn,,,,,Octopus,,
Hannibal Books,,,,,,,
Hardie Grant,,,,,Hardie Grant Publishing,,"Sweet Enough,Japaneasy: Bowls & Bento,The Commons,Salad Feasts,Apple,Tokyo Stories,Sharing Puglia,The Complete Asian Cookbook,Poké,Bitter Honey,Tava"
Harper Collins,,,,,,,
HarperWave,,,,,,,
Harry N. Abrams,,,,,,,
Harvard Common Press,,,,,Quarto Knows,,Kebabs
Head of Zeus,,,,,,,
Headline,,,,,,,
Hodder Stoughton,https://www.hodder.co.uk/,,,hodderbooks,Hachette,,
Hot Key Books,,,,,Bonnier Books,,
Houghton Mifflin Harcourt⁠,,,,,,,
Hoxton Mini Press,https://www.hoxtonminipress.com/,,,hoxtonminipress,,,
HQ,,,,,Pavilion Books,,
IlexPress ⁣,,,,,Octopus,,
Interlink Publishing,,,,,,,Salamati
Jacqui Small,,,,,Quarto Knows,,Naturally Nourished
Jonathan Cape,,,,,,,
Knopf,,,,,Penguin Random House,,
Kyle Books,https://www.kylebooks.co.uk/,general.enquiries@kylebooks.co.uk,,kylebooksuk,Octopus,,"""Eating for Pleasure, People & Planet"""
Lannoo,,,,,,,
Lantern,,,,,Penguin Books,,
Lars Muller Publishers,,,,,,,
Leaping Hare Press⁠,,,,,Quarto Knows,,
Little Picnic Press,,,,,,,
"Little, Brown and Company",,,,,Hachette,,
Lonely Planet Food,,,,,,,
Lorena Jones Books,https://crownpublishing.com/archives/imprint/lorena-jones-books,,,,Ten Speed Press,,
